"Manager","Report Date","Value ($000)","Shares","Option Type"
"CIGNA INVESTMENTS INC /NEW","12/31/2023","755","34,017",""
"BAROMETER CAPITAL MANAGEMENT INC.","12/31/2023","989","33,800",""
"Independent Advisor Alliance","12/31/2023","738","33,397",""
"D.A. DAVIDSON & CO.","12/31/2023","719","32,557",""
"TOWNSQUARE CAPITAL LLC","12/31/2023","714","32,347",""
"Advisory Resource Group","12/31/2023","714","32,311",""
"Schechter Investment Advisors, LLC","12/31/2023","712","32,245",""
"BROWN, LISLE/CUMMINGS, INC.","12/31/2023","710","32,128",""
"Polar Asset Management Partners Inc.","12/31/2023","707","32,006",""
"Candriam S.C.A.","12/31/2023","710","31,978",""
"PINEBRIDGE INVESTMENTS, L.P.","12/31/2023","934","31,918",""
"First Trust Direct Indexing L.P.","12/31/2023","704","31,884",""
"Redhawk Wealth Advisors, Inc.","12/31/2023","702","31,774",""
"Wealth Alliance","12/31/2023","700","31,677",""
"REGIONS FINANCIAL CORP","12/31/2023","692","31,325",""
"Cipher Capital LP","12/31/2023","690","31,224",""
"NewEdge Advisors, LLC","12/31/2023","671","30,996",""
"BAKER TILLY WEALTH MANAGEMENT, LLC","12/31/2023","665","30,124",""
"FOCUS FINANCIAL NETWORK INC /ADV","12/31/2023","664","30,052",""
"YOUSIF CAPITAL MANAGEMENT, LLC","12/31/2023","661","29,917",""
"Cetera Investment Advisers","12/31/2023","658","29,801",""
"GRIMES & COMPANY, INC.","12/31/2023","657","29,748",""
"Kovack Advisors, Inc.","12/31/2023","646","29,235",""
"AE Wealth Management LLC","12/31/2023","628","28,769",""
"Coastline Trust Co","12/31/2023","625","28,320",""
"Laird Norton Wetherby Wealth Management, LLC","12/31/2023","614","27,791",""
"GATEWAY INVESTMENT ADVISERS LLC","12/31/2023","613","27,745",""
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp","12/31/2023","606","27,439",""
"BROWN ADVISORY INC","12/31/2023","604","27,367",""
"BENJAMIN EDWARDS INC","12/31/2023","593","26,847",""
"MERCER GLOBAL ADVISORS INC /ADV","12/31/2023","593","26,812",""
"Fiera Capital Corp","12/31/2023","578","26,097",""
"Archer Investment Corp","12/31/2023","567","25,700",""
"Hendershot Investments Inc.","12/31/2023","567","25,692",""
"Legacy Wealth Asset Management, LLC","12/31/2023","566","25,620",""
"TD PRIVATE CLIENT WEALTH LLC","12/31/2023","565","25,597",""
"One Wealth Advisors, LLC","12/31/2023","559","25,311",""
"Johnson Financial Group, Inc.","12/31/2023","554","25,071",""
"Walleye Trading LLC","12/31/2023","552","25,000","call"
"Gifford Fong Associates","12/31/2023","553","25,000",""
"AlphaCore Capital LLC","12/31/2023","540","24,467",""
"DUALITY ADVISERS, LP","12/31/2023","537","24,315",""
"WMS Partners, LLC","12/31/2023","535","24,231",""
"Schneider Downs Wealth Management Advisors, LP","12/31/2023","530","23,992",""
"Core Alternative Capital","12/31/2023","529","23,939",""
"BLAIR WILLIAM & CO/IL","12/31/2023","527","23,859",""
"OPPENHEIMER & CO INC","12/31/2023","526","23,835",""
"Pegasus Partners Ltd.","12/31/2023","526","23,807",""
"MONTAG A & ASSOCIATES INC","12/31/2023","520","23,574",""
"RAYMOND JAMES TRUST N.A.","12/31/2023","519","23,507",""
"WHITTIER TRUST CO","12/31/2023","515","23,357",""
"BUCKINGHAM STRATEGIC WEALTH, LLC","12/31/2023","507","22,949",""
"Beverly Hills Private Wealth, LLC","12/31/2023","489","22,165",""
"Balentine LLC","12/31/2023","488","22,087",""
"EVERGREEN CAPITAL MANAGEMENT LLC","12/31/2023","481","21,781",""
"WEDBUSH SECURITIES INC","12/31/2023","480","21,707",""
"Verition Fund Management LLC","12/31/2023","470","21,287",""
"Engineers Gate Manager LP","12/31/2023","468","21,186",""
"GTS SECURITIES LLC","12/31/2023","459","20,800","call"
"Cassaday & Co Wealth Management LLC","12/31/2023","456","20,677",""
"BayBridge Capital Group, LLC","12/31/2023","438","20,576",""
"WOLVERINE TRADING, LLC","12/31/2023","453","20,500","put"
"Vise Technologies, Inc.","12/31/2023","442","20,043",""
"HOGE FINANCIAL SERVICES, LLC","12/31/2023","441","19,969",""
"BURKE & HERBERT BANK & TRUST CO","12/31/2023","431","19,510",""
"GLENMEDE TRUST CO NA","12/31/2023","431","19,504",""
"PEAK6 Investments LLC","12/31/2023","428","19,400","call"
"TWO SIGMA SECURITIES, LLC","12/31/2023","427","19,362",""
"WCG Wealth Advisors LLC","12/31/2023","417","18,885",""
"Strategic Investment Advisors / MI","12/31/2023","415","18,804",""
"Integrated Advisors Network LLC","12/31/2023","414","18,746",""
"LOUISBOURG INVESTMENTS INC.","12/31/2023","399","18,013",""
"ASAHI LIFE ASSET MANAGEMENT CO., LTD.","12/31/2023","398","17,950","put"
"Steward Partners Investment Advisory, LLC","12/31/2023","395","17,881",""
"Value Partners Investments Inc.","12/31/2023","395","17,850",""
"CLIFFORD SWAN INVESTMENT COUNSEL LLC","12/31/2023","387","17,535",""
"Boothe Investment Group, Inc.","12/31/2023","386","17,450",""
"BOWEN HANES & CO INC","12/31/2023","382","17,315",""
"CRAWFORD INVESTMENT COUNSEL INC","12/31/2023","374","16,946",""
"MAI Capital Management","12/31/2023","374","16,924",""
"O'ROURKE & COMPANY, Inc","12/31/2023","370","16,748",""
"Pacer Advisors, Inc.","12/31/2023","362","16,418",""
"HBK Sorce Advisory LLC","12/31/2023","362","16,417",""
"West Family Investments, Inc.","12/31/2023","359","16,253",""
"XTX Topco Ltd","12/31/2023","355","16,067",""
"PFG Advisors","12/31/2023","349","15,792",""
"CWM, LLC","12/31/2023","347","15,690",""
"Fayez Sarofim & Co","12/31/2023","352","15,593",""
"Wealthspire Advisors, LLC","12/31/2023","343","15,557",""
"HUNTINGTON NATIONAL BANK","12/31/2023","341","15,466",""
"QUADRANT CAPITAL GROUP LLC","12/31/2023","341","15,439",""
"Bridgefront Capital, LLC","12/31/2023","341","15,438",""
"Private Advisor Group, LLC","12/31/2023","340","15,391",""
"Nicholas Hoffman & Company, LLC.","12/31/2023","338","15,301",""
"K.J. Harrison & Partners Inc","12/31/2023","337","15,249",""
"PNC FINANCIAL SERVICES GROUP, INC.","12/31/2023","334","15,145",""
"GUGGENHEIM CAPITAL LLC","12/31/2023","321","14,562",""
"Checchi Capital Advisers, LLC","12/31/2023","319","14,449",""
"STEPHENS INC /AR/","12/31/2023","313","14,190",""
"WESBANCO BANK INC","12/31/2023","308","13,963",""
"Envestnet Portfolio Solutions, Inc.","12/31/2023","308","13,962",""
"FERGUSON WELLMAN CAPITAL MANAGEMENT, INC","12/31/2023","308","13,946",""
"RHUMBLINE ADVISERS","12/31/2023","303","13,720",""
"Summit Financial Group, Inc.","12/31/2023","301","13,639",""
"UniSuper Management Pty Ltd","12/31/2023","395","13,500",""
"Savant Capital, LLC","12/31/2023","292","13,255",""
"ATLAS CAPITAL ADVISORS LLC","12/31/2023","286","12,975",""
"Legacy Capital Group California, Inc.","12/31/2023","284","12,880",""
"M Holdings Securities, Inc.","12/31/2023","284","12,873",""
"Verum Partners LLC","12/31/2023","284","12,851",""
"Cumberland Partners Ltd","12/31/2023","262","12,835",""
"Bragg Financial Advisors, Inc","12/31/2023","280","12,679",""
"Stratos Wealth Partners, LTD.","12/31/2023","279","12,665",""
"SYNOVUS FINANCIAL CORP","12/31/2023","279","12,642",""
"B. Riley Wealth Advisors, Inc.","12/31/2023","277","12,555",""
