"Manager","Report Date","Value ($000)","Shares","Option Type"
"Brinker Capital Investments, LLC","12/31/2022","299","6,112",""
"FORBES J M & CO LLP","12/31/2022","293","6,000",""
"Sara-Bay Financial","12/31/2022","286","5,838",""
"KAVAR CAPITAL PARTNERS GROUP, LLC","12/31/2022","281","5,750",""
"WEDBUSH SECURITIES INC","12/31/2022","281","5,745",""
"MILLENNIUM MANAGEMENT LLC","12/31/2022","279","5,700","call"
"West Family Investments, Inc.","12/31/2022","277","5,667",""
"Clarius Group, LLC","12/31/2022","270","5,520",""
"Running Point Capital Advisors, LLC","12/31/2022","265","5,416",""
"MARATHON CAPITAL MANAGEMENT","12/31/2022","264","5,400",""
"HB Wealth Management, LLC","12/31/2022","250","5,113",""
"Cetera Advisor Networks LLC","12/31/2022","248","5,072",""
"Quilter Plc","12/31/2022","244","5,000",""
"JANICZEK WEALTH MANAGEMENT, LLC","12/31/2022","255","4,978",""
"Magnus Financial Group LLC","12/31/2022","241","4,929",""
"Prospera Financial Services Inc","12/31/2022","240","4,917",""
"NWAM LLC","12/31/2022","240","4,915",""
"TWO SIGMA SECURITIES, LLC","12/31/2022","240","4,900","put"
"Applied Capital LLC/FL","12/31/2022","238","4,875",""
"Old North State Trust, LLC","12/31/2022","239","4,872",""
"Five Oceans Advisors","12/31/2022","235","4,814",""
"Cetera Investment Advisers","12/31/2022","234","4,785",""
"CONCOURSE FINANCIAL GROUP SECURITIES, INC.","12/31/2022","234","4,780",""
"Bayesian Capital Management, LP","12/31/2022","230","4,700",""
"Checchi Capital Advisers, LLC","12/31/2022","226","4,630",""
"Americana Partners, LLC","12/31/2022","226","4,623",""
"Capital Investment Advisors, LLC","12/31/2022","224","4,578",""
"Ballentine Partners, LLC","12/31/2022","222","4,549",""
"Laurel Wealth Advisors, Inc.","12/31/2022","218","4,445",""
"PRUDENTIAL PLC","12/31/2022","213","4,351",""
"TOMPKINS FINANCIAL CORP","12/31/2022","211","4,300",""
"FIRST MANHATTAN CO","12/31/2022","205","4,204",""
"LEUTHOLD GROUP, LLC","12/31/2022","205","4,192",""
"Alan B. Lancz & Associates, Inc.","12/31/2022","211","4,100",""
"Investors Research Corp","12/31/2022","171","3,500",""
"CLEAR STREET MARKETS LLC","12/31/2022","164","3,348",""
"LSV ASSET MANAGEMENT","12/31/2022","162","3,300",""
"GRAYHAWK INVESTMENT STRATEGIES INC.","12/31/2022","157","3,219",""
"Compagnie Lombard Odier SCmA","12/31/2022","157","3,207",""
"QUADRANT CAPITAL GROUP LLC","12/31/2022","152","3,104",""
"BROWN BROTHERS HARRIMAN & CO","12/31/2022","151","3,100",""
"Credit Agricole S A","12/31/2022","151","3,091",""
"NORTHWESTERN MUTUAL WEALTH MANAGEMENT CO","12/31/2022","146","2,992",""
"Parallel Advisors, LLC","12/31/2022","127","2,611",""
"JCIC Asset Management Inc.","12/31/2022","127","2,600",""
"TOBAM","12/31/2022","125","2,536",""
"Addison Advisors LLC","12/31/2022","123","2,529",""
"FARMERS & MERCHANTS INVESTMENTS INC","12/31/2022","116","2,385",""
"HARBOUR INVESTMENTS, INC.","12/31/2022","103","2,115",""
"M&R CAPITAL MANAGEMENT INC","12/31/2022","90","1,840",""
"FIFTH THIRD BANCORP","12/31/2022","89","1,824",""
"Global Retirement Partners, LLC","12/31/2022","86","1,762",""
"DELTA ASSET MANAGEMENT LLC/TN","12/31/2022","72","1,490",""
