"Manager","Report Date","Value ($000)","Shares","Option Type"
"Bray Capital Advisors","12/31/2019","89","1,150",""
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.","12/31/2019","89","1,148",""
"Zions Bancorporation, N.A.","12/31/2019","87","1,127",""
"Sutton Wealth Advisors Inc.","12/31/2019","85","1,102",""
"Hudock Capital Group, LLC","12/31/2019","83","1,080",""
"HUNTINGTON NATIONAL BANK","12/31/2019","79","1,020",""
"Clearbridge Investments, LLC","12/31/2019","77","1,000",""
"Firestone Capital Management","12/31/2019","78","1,000",""
"BlackRock Inc.","12/31/2019","70","905",""
"BARCLAYS PLC","12/31/2019","70","900","call"
"DUNCKER STREETT & CO INC","12/31/2019","66","850",""
"ENTERPRISE FINANCIAL SERVICES CORP","12/31/2019","65","838",""
"COUNTRY TRUST BANK","12/31/2019","62","800",""
"Certified Advisory Corp","12/31/2019","55","716",""
"ASSETMARK, INC","12/31/2019","53","678",""
"American Portfolios Advisors","12/31/2019","48","626",""
"CENTRAL TRUST Co","12/31/2019","48","620",""
"Princeton Global Asset Management LLC","12/31/2019","46","600",""
"Rockefeller Capital Management L.P.","12/31/2019","44","565",""
"KINGS POINT CAPITAL MANAGEMENT","12/31/2019","40","518",""
"NEXT Financial Group, Inc","12/31/2019","39","506",""
"TCI Wealth Advisors, Inc.","12/31/2019","37","476",""
"GANTZERT INVESTMENT CO LLC /ADV","12/31/2019","35","450",""
"Horan Capital Advisors, LLC.","12/31/2019","35","450",""
