"Manager","Report Date","Value ($000)","Shares","Option Type"
"UNITED SERVICES AUTOMOBILE ASSOCIATION","12/31/2023","4,455","68,960",""
"Sequoia Financial Advisors, LLC","12/31/2023","4,430","68,560",""
"ADVOCATE GROUP LLC","12/31/2023","4,274","66,153",""
"Vontobel Holding Ltd.","12/31/2023","4,257","65,881",""
"DUALITY ADVISERS, LP","12/31/2023","4,199","64,984",""
"Mariner, LLC","12/31/2023","4,135","63,998",""
"CAPITAL FUND MANAGEMENT S.A.","12/31/2023","4,109","63,600","call"
"Ilmarinen Mutual Pension Insurance Co","12/31/2023","4,106","63,546",""
"Maryland State Retirement & Pension System","12/31/2023","4,069","62,939",""
"Claret Asset Management Corp","12/31/2023","4,058","62,770",""
"Qube Research & Technologies Ltd","12/31/2023","4,013","62,114",""
"Knights of Columbus Asset Advisors LLC","12/31/2023","3,994","61,821",""
"Stablepoint Partners, LLC","12/31/2023","3,870","59,898",""
"PRINCIPAL FINANCIAL GROUP INC","12/31/2023","3,818","58,800",""
"Pacifica Partners Inc.","12/31/2023","3,496","57,918",""
"Quantinno Capital Management LP","12/31/2023","3,731","57,735",""
"PEAK6 Investments LLC","12/31/2023","3,702","57,300","call"
"GIRARD PARTNERS LTD.","12/31/2023","3,696","57,209",""
"HAMEL ASSOCIATES, INC.","12/31/2023","3,680","56,955",""
"BALDWIN BROTHERS LLC/MA","12/31/2023","3,607","55,833",""
"Man Group plc","12/31/2023","3,617","55,788",""
"Te Ahumairangi Investment Management Ltd","12/31/2023","3,443","53,021",""
"Walleye Capital LLC","12/31/2023","3,295","51,000","call"
"Auto-Owners Insurance Co","12/31/2023","3,287","50,875",""
"Walleye Capital LLC","12/31/2023","3,282","50,800","put"
"UBS Group AG","12/31/2023","3,231","50,000","put"
"GOLDMAN SACHS GROUP INC","12/31/2023","3,231","50,000","call"
"GOLDMAN SACHS GROUP INC","12/31/2023","3,231","50,000","call"
"Mirae Asset Global Investments Co., Ltd.","12/31/2023","3,062","47,389",""
